,title,description_alert,link,published,alert_title,cve_id,description_cve,cvss_score,cwe,cwe_desc,epss_score,vendor,product,versions
3199,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Thu, 11 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),CVE-2026-9880,Insufficient validation of untrusted input in WebGL in Google Chrome prior to 148.0.7778.216 allowed a remote attacker who had compromised the renderer process to potentially perform a sandbox escape via a crafted HTML page. (Chromium security severity: Critical),Non disponible,CWE-20,Insufficient validation of untrusted input,0.00115,Google,Chrome,['148.0.7778.216']
3200,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Thu, 11 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),CVE-2026-9879,Out of bounds write in ANGLE in Google Chrome prior to 148.0.7778.216 allowed a remote attacker to execute arbitrary code via a crafted HTML page. (Chromium security severity: Critical),Non disponible,CWE-787,Out of bounds write,0.00128,Google,Chrome,['148.0.7778.216']
3201,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Thu, 11 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),CVE-2026-9881,Use after free in Bluetooth in Google Chrome on Mac prior to 148.0.7778.216 allowed an attacker who convinced a user to install a malicious extension to potentially perform a sandbox escape via a crafted Chrome Extension. (Chromium security severity: Critical),Non disponible,CWE-416,Use after free,0.00039,Google,Chrome,['148.0.7778.216']
3202,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Thu, 11 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),CVE-2026-8519,Integer overflow in ANGLE in Google Chrome on Windows prior to 148.0.7778.168 allowed a remote attacker to perform an out of bounds memory write via a crafted HTML page. (Chromium security severity: Critical),Non disponible,CWE-472,Integer overflow,0.00092,Google,Chrome,['148.0.7778.168']
3203,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Thu, 11 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),CVE-2026-10004,Insufficient validation of untrusted input in Passwords in Google Chrome prior to 148.0.7778.216 allowed a remote attacker to perform UI spoofing via a crafted HTML page. (Chromium security severity: High),Non disponible,CWE-20,Insufficient validation of untrusted input,0.00038,Google,Chrome,['148.0.7778.216']
3204,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Thu, 11 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),CVE-2026-8527,Insufficient validation of untrusted input in Downloads in Google Chrome prior to 148.0.7778.168 allowed a remote attacker to execute arbitrary code via a crafted HTML page. (Chromium security severity: High),Non disponible,CWE-20,Insufficient validation of untrusted input,0.00148,Google,Chrome,['148.0.7778.168']
3205,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Thu, 11 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),CVE-2026-8575,Use after free in UI in Google Chrome prior to 148.0.7778.168 allowed a remote attacker who had compromised the renderer process to potentially perform a sandbox escape via a crafted HTML page. (Chromium security severity: Medium),Non disponible,CWE-416,Use after free,0.00073,Google,Chrome,['148.0.7778.168']
3206,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Thu, 11 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),CVE-2026-9999,Inappropriate implementation in ANGLE in Google Chrome on Mac prior to 148.0.7778.216 allowed a remote attacker to execute arbitrary code inside a sandbox via a crafted HTML page. (Chromium security severity: High),Non disponible,Non disponible,Inappropriate implementation,0.00084,Google,Chrome,['148.0.7778.216']
3207,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Thu, 11 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),CVE-2026-8548,Out of bounds write in Media in Google Chrome prior to 148.0.7778.168 allowed a remote attacker who had compromised the renderer process to potentially perform a sandbox escape via a crafted HTML page. (Chromium security severity: High),Non disponible,CWE-787,Out of bounds write,0.00092,Google,Chrome,['148.0.7778.168']
3208,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Thu, 11 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),CVE-2026-9123,"Heap buffer overflow in Chromecast in Google Chrome on Android, Linux, ChromeOS prior to 148.0.7778.179 allowed a local attacker to execute arbitrary code inside a sandbox via malicious network traffic. (Chromium security severity: Medium)",Non disponible,CWE-122,Heap buffer overflow,4e-05,Google,Chrome,['148.0.7778.179']
3209,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Thu, 11 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),CVE-2026-9937,Use after free in UI in Google Chrome on Windows prior to 148.0.7778.216 allowed a remote attacker who had compromised the renderer process to potentially perform a sandbox escape via a crafted HTML page. (Chromium security severity: High),Non disponible,CWE-416,Use after free,0.00118,Google,Chrome,['148.0.7778.216']
3210,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Thu, 11 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),CVE-2026-9997,Use after free in Input in Google Chrome prior to 148.0.7778.216 allowed a remote attacker who had compromised the renderer process to potentially perform a sandbox escape via a crafted HTML page. (Chromium security severity: High),Non disponible,CWE-416,Use after free,0.00118,Google,Chrome,['148.0.7778.216']
3211,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Thu, 11 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),CVE-2026-8536,Insufficient validation of untrusted input in ReadingMode in Google Chrome on Mac prior to 148.0.7778.168 allowed a remote attacker who had compromised the renderer process to bypass site Isolation via a crafted HTML page. (Chromium security severity: High),Non disponible,CWE-20,Insufficient validation of untrusted input,0.0003,Google,Chrome,['148.0.7778.168']
3212,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Thu, 11 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),CVE-2026-0273,"A command injection vulnerability in Palo Alto Networks PAN-OS® software enables an authenticated administrator to bypass system restrictions and run arbitrary commands as a root user. To be able to exploit this issue, the user must have access to the PAN-OS CLI or Web UI.

The security risk posed by this issue is significantly minimized when CLI access is restricted to a limited group of administrators and by restricting access to the management web interface to only trusted internal IP addresses according to our recommended  best practice deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .

This issue is applicable to PAN-OS software on PA-Series and VM-Series firewalls and on Panorama (virtual and M-Series).

Cloud NGFW and Prisma® Access are not affected by this vulnerability.",Non disponible,CWE-78,CWE-78 Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),0.00255,Palo Alto Networks,Cloud NGFW,['All']
3213,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Thu, 11 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),CVE-2026-0273,"A command injection vulnerability in Palo Alto Networks PAN-OS® software enables an authenticated administrator to bypass system restrictions and run arbitrary commands as a root user. To be able to exploit this issue, the user must have access to the PAN-OS CLI or Web UI.

The security risk posed by this issue is significantly minimized when CLI access is restricted to a limited group of administrators and by restricting access to the management web interface to only trusted internal IP addresses according to our recommended  best practice deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .

This issue is applicable to PAN-OS software on PA-Series and VM-Series firewalls and on Panorama (virtual and M-Series).

Cloud NGFW and Prisma® Access are not affected by this vulnerability.",Non disponible,CWE-78,CWE-78 Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),0.00255,Palo Alto Networks,PAN-OS,"['12.1.0', '11.2.0', '11.1.0', '10.2.0']"
3214,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Thu, 11 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),CVE-2026-0273,"A command injection vulnerability in Palo Alto Networks PAN-OS® software enables an authenticated administrator to bypass system restrictions and run arbitrary commands as a root user. To be able to exploit this issue, the user must have access to the PAN-OS CLI or Web UI.

The security risk posed by this issue is significantly minimized when CLI access is restricted to a limited group of administrators and by restricting access to the management web interface to only trusted internal IP addresses according to our recommended  best practice deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .

This issue is applicable to PAN-OS software on PA-Series and VM-Series firewalls and on Panorama (virtual and M-Series).

Cloud NGFW and Prisma® Access are not affected by this vulnerability.",Non disponible,CWE-78,CWE-78 Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),0.00255,Palo Alto Networks,Prisma Access,['All']
3215,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Thu, 11 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),CVE-2026-8531,Heap buffer overflow in WebML in Google Chrome on Windows prior to 148.0.7778.168 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page. (Chromium security severity: High),Non disponible,CWE-122,Heap buffer overflow,0.00062,Google,Chrome,['148.0.7778.168']
3216,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Thu, 11 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),CVE-2026-9935,Uninitialized Use in ANGLE in Google Chrome prior to 148.0.7778.216 allowed a remote attacker to leak cross-origin data via a crafted HTML page. (Chromium security severity: High),Non disponible,CWE-457,Uninitialized Use,0.00032,Google,Chrome,['148.0.7778.216']
3217,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,"Thu, 11 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),CVE-2026-9112,Use after free in GPU in Google Chrome on Windows prior to 148.0.7778.179 allowed a remote attacker to execute arbitrary code inside a sandbox via a crafted HTML page. (Chromium security severity: High),Non disponible,CWE-416,Use after free,0.0003,Google,Chrome,['148.0.7778.179']
