,title,description_alert,link,published,alert_title,cve_id,description_cve,cvss_score,cwe,cwe_desc,epss_score,vendor,product,versions
16,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),"[Mise à jour du 4 mars 2024] Ivanti a publié le 29 février des recommandations de résolution pour les Ivanti Connect Secure ou Policy Secure en machine virtuelle [16]. [Mise à jour du 15 février 2024] l'éditeur a publié le 15 février des correctifs pour les versions suivantes, qui n'en...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,"Thu, 11 Jan 2024 00:00:00 +0000",[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),CVE-2024-21893,"A server-side request forgery vulnerability in the SAML component of Ivanti Connect Secure (9.x, 22.x) and Ivanti Policy Secure (9.x, 22.x) and Ivanti Neurons for ZTA allows an attacker to access certain restricted resources without authentication.",8.2,Non disponible,Non disponible,0.94319,Ivanti,ICS,"['9.1R18', '22.6R2']"
17,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),"[Mise à jour du 4 mars 2024] Ivanti a publié le 29 février des recommandations de résolution pour les Ivanti Connect Secure ou Policy Secure en machine virtuelle [16]. [Mise à jour du 15 février 2024] l'éditeur a publié le 15 février des correctifs pour les versions suivantes, qui n'en...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,"Thu, 11 Jan 2024 00:00:00 +0000",[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),CVE-2024-21893,"A server-side request forgery vulnerability in the SAML component of Ivanti Connect Secure (9.x, 22.x) and Ivanti Policy Secure (9.x, 22.x) and Ivanti Neurons for ZTA allows an attacker to access certain restricted resources without authentication.",8.2,Non disponible,Non disponible,0.94319,Ivanti,IPS,"['9.1R18', '22.6R1']"
18,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),"[Mise à jour du 4 mars 2024] Ivanti a publié le 29 février des recommandations de résolution pour les Ivanti Connect Secure ou Policy Secure en machine virtuelle [16]. [Mise à jour du 15 février 2024] l'éditeur a publié le 15 février des correctifs pour les versions suivantes, qui n'en...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,"Thu, 11 Jan 2024 00:00:00 +0000",[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),CVE-2024-21888,"A privilege escalation vulnerability in web component of Ivanti Connect Secure (9.x, 22.x) and Ivanti Policy Secure (9.x, 22.x) allows a user to elevate privileges to that of an administrator. ",8.8,Non disponible,Non disponible,0.61255,Ivanti,ICS,"['9.1R18', '22.6R2']"
19,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),"[Mise à jour du 4 mars 2024] Ivanti a publié le 29 février des recommandations de résolution pour les Ivanti Connect Secure ou Policy Secure en machine virtuelle [16]. [Mise à jour du 15 février 2024] l'éditeur a publié le 15 février des correctifs pour les versions suivantes, qui n'en...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,"Thu, 11 Jan 2024 00:00:00 +0000",[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),CVE-2024-21888,"A privilege escalation vulnerability in web component of Ivanti Connect Secure (9.x, 22.x) and Ivanti Policy Secure (9.x, 22.x) allows a user to elevate privileges to that of an administrator. ",8.8,Non disponible,Non disponible,0.61255,Ivanti,IPS,"['9.1R18', '22.6R1']"
20,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),"[Mise à jour du 4 mars 2024] Ivanti a publié le 29 février des recommandations de résolution pour les Ivanti Connect Secure ou Policy Secure en machine virtuelle [16]. [Mise à jour du 15 février 2024] l'éditeur a publié le 15 février des correctifs pour les versions suivantes, qui n'en...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,"Thu, 11 Jan 2024 00:00:00 +0000",[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),CVE-2024-22024,"An XML external entity or XXE vulnerability in the SAML component of Ivanti Connect Secure (9.x, 22.x), Ivanti Policy Secure (9.x, 22.x) and ZTA gateways which allows an attacker to access certain restricted resources without authentication.",8.3,Non disponible,Non disponible,0.94249,Ivanti,ICS,"['9.1R14.5', '9.1R17.3', '9.1R18.4', '22.1R6.1', '9.1R14.4', '9.1R15.2', '9.1R16.2', '9.1R17.2', '9.1R18.3', '22.1R6.1', '22.2R4.1', '22.3R1.1', '22.4R1.1', '22.5R1.2', '22.6R1.1', '22.4R2.3', '22.5R2.3', '22.6R2.2', '22.2R4.1', '22.3R1', '22.4R1.1', '22.5R1.1', '22.6R1.1', '22.4R2.2', '22.5R2.2', '22.6R2.2']"
21,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),"[Mise à jour du 4 mars 2024] Ivanti a publié le 29 février des recommandations de résolution pour les Ivanti Connect Secure ou Policy Secure en machine virtuelle [16]. [Mise à jour du 15 février 2024] l'éditeur a publié le 15 février des correctifs pour les versions suivantes, qui n'en...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,"Thu, 11 Jan 2024 00:00:00 +0000",[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),CVE-2024-22024,"An XML external entity or XXE vulnerability in the SAML component of Ivanti Connect Secure (9.x, 22.x), Ivanti Policy Secure (9.x, 22.x) and ZTA gateways which allows an attacker to access certain restricted resources without authentication.",8.3,Non disponible,Non disponible,0.94249,Ivant ,ICS,['9.1R15.3']
22,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),"[Mise à jour du 4 mars 2024] Ivanti a publié le 29 février des recommandations de résolution pour les Ivanti Connect Secure ou Policy Secure en machine virtuelle [16]. [Mise à jour du 15 février 2024] l'éditeur a publié le 15 février des correctifs pour les versions suivantes, qui n'en...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,"Thu, 11 Jan 2024 00:00:00 +0000",[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),CVE-2024-22024,"An XML external entity or XXE vulnerability in the SAML component of Ivanti Connect Secure (9.x, 22.x), Ivanti Policy Secure (9.x, 22.x) and ZTA gateways which allows an attacker to access certain restricted resources without authentication.",8.3,Non disponible,Non disponible,0.94249,Ivanti,IPS,"['9.1R18.4', '9.1R17.3', '22.5R1.2', '9.1R18.2', '9.1R17.2', '22.5R1.1']"
23,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),"[Mise à jour du 4 mars 2024] Ivanti a publié le 29 février des recommandations de résolution pour les Ivanti Connect Secure ou Policy Secure en machine virtuelle [16]. [Mise à jour du 15 février 2024] l'éditeur a publié le 15 février des correctifs pour les versions suivantes, qui n'en...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,"Thu, 11 Jan 2024 00:00:00 +0000",[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),CVE-2024-21887,"A command injection vulnerability in web components of Ivanti Connect Secure (9.x, 22.x) and Ivanti Policy Secure (9.x, 22.x)  allows an authenticated administrator to send specially crafted requests and execute arbitrary commands on the appliance.",9.1,Non disponible,Non disponible,0.94412,Ivanti,ICS,"['9.1R18', '22.6R2']"
24,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),"[Mise à jour du 4 mars 2024] Ivanti a publié le 29 février des recommandations de résolution pour les Ivanti Connect Secure ou Policy Secure en machine virtuelle [16]. [Mise à jour du 15 février 2024] l'éditeur a publié le 15 février des correctifs pour les versions suivantes, qui n'en...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,"Thu, 11 Jan 2024 00:00:00 +0000",[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),CVE-2024-21887,"A command injection vulnerability in web components of Ivanti Connect Secure (9.x, 22.x) and Ivanti Policy Secure (9.x, 22.x)  allows an authenticated administrator to send specially crafted requests and execute arbitrary commands on the appliance.",9.1,Non disponible,Non disponible,0.94412,Ivanti,IPS,"['9.1R18', '22.6R1']"
25,[MàJ] Multiples Vulnérabilités dans GitLab (12 janvier 2024),"\[Mise à jour du 29 janvier 2024\] Le 25 janvier 2024, l'éditeur a publié un avis de sécurité concernant plusieurs vulnérabilités affectant GitLab CE et EE. La vulnérabilité CVE-2024-0402 est considérée critique avec un score CVSSv3 de 9,9. Elle permet à un attaquant authentifié d'écrire des...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-002/,"Fri, 12 Jan 2024 00:00:00 +0000",[MàJ] Multiples Vulnérabilités dans GitLab (12 janvier 2024),CVE-2023-7028,"An issue has been discovered in GitLab CE/EE affecting all versions from 16.1 prior to 16.1.6, 16.2 prior to 16.2.9, 16.3 prior to 16.3.7, 16.4 prior to 16.4.5, 16.5 prior to 16.5.6, 16.6 prior to 16.6.4, and 16.7 prior to 16.7.2 in which user account password reset emails could be delivered to an unverified email address.",10,CWE-640,CWE-640: Weak Password Recovery Mechanism for Forgotten Password,0.93426,GitLab,GitLab,"['16.1', '16.2', '16.3', '16.4', '16.5', '16.6', '16.7']"
